/* DATA DESCRIPTION:
Citation:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous record of the atmospheric greenhouse gas carbon dioxide (CO2), final spline-smoothed data of calculated radiative forcing (Version 1) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.871271, 
	In supplement to: Köhler, P et al. (2017): A 156 kyr smoothed history of the atmospheric greenhouse gases CO2, CH4, and N2O and their radiative forcing. Earth System Science Data, 9(1), 363-387, https://doi.org/10.5194/essd-9-363-2017
New version:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous record of the atmospheric greenhouse gas carbon dioxide (CO2), final spline-smoothed data of calculated radiative forcing (Version 2). PANGAEA, https://doi.org/10.1594/PANGAEA.876013
Related to:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous records of the atmospheric greenhouse gases CO2, CH4, and N2O and their radiative forcing since the penultimate glacial maximum. Earth System Science Data Discussions, https://doi.org/10.5194/essd-2017-6
Comment:	Final spline with 156373 lines (-66 BP to 156306 BP).
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html)
	Carbon dioxide, dry-air mole fraction [µmol/mol] (CO2) * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html) * COMMENT: µmol/mol = ppm
	Radiative forcing of atmospheric carbon dioxide [W/m**2] (dR_[CO2]) * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html) * COMMENT: = 5.35 * ln(CO2/(278 ppm))
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	312746 data points
*/
Age [ka BP]	CO2 [µmol/mol]	dR_[CO2] [W/m**2]
110.795	251.08	-0.545
110.796	251.09	-0.545
110.797	251.10	-0.544
110.798	251.12	-0.544
110.799	251.13	-0.544
110.800	251.15	-0.543
110.801	251.16	-0.543
110.802	251.17	-0.543
110.803	251.19	-0.543
110.804	251.20	-0.542
110.805	251.22	-0.542
110.806	251.23	-0.542
110.807	251.25	-0.541
110.808	251.26	-0.541
110.809	251.27	-0.541
110.810	251.29	-0.540
110.811	251.30	-0.540
110.812	251.32	-0.540
110.813	251.33	-0.540
110.814	251.35	-0.539
110.815	251.36	-0.539
110.816	251.37	-0.539
110.817	251.39	-0.538
110.818	251.40	-0.538
110.819	251.42	-0.538
110.820	251.43	-0.537
110.821	251.45	-0.537
110.822	251.46	-0.537
110.823	251.47	-0.536
110.824	251.49	-0.536
110.825	251.50	-0.536
110.826	251.52	-0.536
110.827	251.53	-0.535
110.828	251.55	-0.535
110.829	251.56	-0.535
110.830	251.58	-0.534
110.831	251.59	-0.534
110.832	251.60	-0.534
110.833	251.62	-0.533
110.834	251.63	-0.533
110.835	251.65	-0.533
110.836	251.66	-0.533
110.837	251.68	-0.532
110.838	251.69	-0.532
110.839	251.71	-0.532
110.840	251.72	-0.531
110.841	251.73	-0.531
110.842	251.75	-0.531
110.843	251.76	-0.530
110.844	251.78	-0.530
110.845	251.79	-0.530
110.846	251.81	-0.529
110.847	251.82	-0.529
110.848	251.84	-0.529
110.849	251.85	-0.529
110.850	251.87	-0.528
110.851	251.88	-0.528
110.852	251.89	-0.528
110.853	251.91	-0.527
110.854	251.92	-0.527
110.855	251.94	-0.527
110.856	251.95	-0.526
110.857	251.97	-0.526
110.858	251.98	-0.526
110.859	252.00	-0.525
110.860	252.01	-0.525
110.861	252.03	-0.525
110.862	252.04	-0.524
110.863	252.05	-0.524
110.864	252.07	-0.524
110.865	252.08	-0.524
110.866	252.10	-0.523
110.867	252.11	-0.523
110.868	252.13	-0.523
110.869	252.14	-0.522
110.870	252.16	-0.522
110.871	252.17	-0.522
110.872	252.19	-0.521
110.873	252.20	-0.521
110.874	252.22	-0.521
110.875	252.23	-0.520
110.876	252.25	-0.520
110.877	252.26	-0.520
110.878	252.27	-0.519
110.879	252.29	-0.519
110.880	252.30	-0.519
110.881	252.32	-0.519
110.882	252.33	-0.518
110.883	252.35	-0.518
110.884	252.36	-0.518
110.885	252.38	-0.517
110.886	252.39	-0.517
110.887	252.41	-0.517
110.888	252.42	-0.516
110.889	252.44	-0.516
110.890	252.45	-0.516
110.891	252.47	-0.515
110.892	252.48	-0.515
110.893	252.50	-0.515
110.894	252.51	-0.514
110.895	252.53	-0.514
110.896	252.54	-0.514
110.897	252.56	-0.514
110.898	252.57	-0.513
110.899	252.58	-0.513
110.900	252.60	-0.513
110.901	252.61	-0.512
110.902	252.63	-0.512
110.903	252.64	-0.512
110.904	252.66	-0.511
110.905	252.67	-0.511
110.906	252.69	-0.511
110.907	252.70	-0.510
110.908	252.72	-0.510
110.909	252.73	-0.510
110.910	252.75	-0.509
110.911	252.76	-0.509
110.912	252.78	-0.509
110.913	252.79	-0.509
110.914	252.81	-0.508
110.915	252.82	-0.508
110.916	252.84	-0.508
110.917	252.85	-0.507
110.918	252.87	-0.507
110.919	252.88	-0.507
110.920	252.90	-0.506
110.921	252.91	-0.506
110.922	252.93	-0.506
110.923	252.94	-0.505
110.924	252.96	-0.505
110.925	252.97	-0.505
110.926	252.99	-0.504
110.927	253.00	-0.504
110.928	253.02	-0.504
110.929	253.03	-0.503
110.930	253.05	-0.503
110.931	253.06	-0.503
110.932	253.08	-0.503
110.933	253.09	-0.502
110.934	253.11	-0.502
110.935	253.12	-0.502
110.936	253.14	-0.501
110.937	253.15	-0.501
110.938	253.17	-0.501
110.939	253.18	-0.500
110.940	253.20	-0.500
110.941	253.21	-0.500
110.942	253.23	-0.499
110.943	253.24	-0.499
110.944	253.26	-0.499
110.945	253.27	-0.498
110.946	253.29	-0.498
110.947	253.30	-0.498
110.948	253.32	-0.497
110.949	253.33	-0.497
110.950	253.35	-0.497
110.951	253.36	-0.497
110.952	253.38	-0.496
110.953	253.39	-0.496
110.954	253.41	-0.496
110.955	253.42	-0.495
110.956	253.44	-0.495
110.957	253.45	-0.495
110.958	253.47	-0.494
110.959	253.48	-0.494
110.960	253.50	-0.494
110.961	253.51	-0.493
110.962	253.53	-0.493
110.963	253.54	-0.493
110.964	253.56	-0.492
110.965	253.57	-0.492
110.966	253.59	-0.492
110.967	253.60	-0.491
110.968	253.62	-0.491
110.969	253.63	-0.491
110.970	253.65	-0.490
110.971	253.66	-0.490
110.972	253.68	-0.490
110.973	253.69	-0.490
110.974	253.71	-0.489
110.975	253.72	-0.489
110.976	253.74	-0.489
110.977	253.75	-0.488
110.978	253.77	-0.488
110.979	253.78	-0.488
110.980	253.80	-0.487
110.981	253.81	-0.487
110.982	253.83	-0.487
110.983	253.84	-0.486
110.984	253.86	-0.486
110.985	253.87	-0.486
110.986	253.89	-0.485
110.987	253.90	-0.485
110.988	253.92	-0.485
110.989	253.93	-0.484
110.990	253.95	-0.484
110.991	253.96	-0.484
110.992	253.98	-0.484
110.993	253.99	-0.483
110.994	254.01	-0.483
110.995	254.02	-0.483
110.996	254.04	-0.482
110.997	254.05	-0.482
110.998	254.07	-0.482
110.999	254.08	-0.481
111.000	254.10	-0.481
111.001	254.11	-0.481
111.002	254.13	-0.480
111.003	254.14	-0.480
111.004	254.16	-0.480
111.005	254.17	-0.479
111.006	254.19	-0.479
111.007	254.20	-0.479
111.008	254.22	-0.478
111.009	254.23	-0.478
111.010	254.25	-0.478
111.011	254.26	-0.477
111.012	254.28	-0.477
111.013	254.29	-0.477
111.014	254.31	-0.477
111.015	254.32	-0.476
111.016	254.34	-0.476
111.017	254.35	-0.476
111.018	254.37	-0.475
111.019	254.38	-0.475
111.020	254.40	-0.475
111.021	254.41	-0.474
111.022	254.43	-0.474
111.023	254.44	-0.474
111.024	254.46	-0.473
111.025	254.47	-0.473
111.026	254.49	-0.473
111.027	254.51	-0.472
111.028	254.52	-0.472
111.029	254.54	-0.472
111.030	254.55	-0.471
111.031	254.57	-0.471
111.032	254.58	-0.471
111.033	254.60	-0.471
111.034	254.61	-0.470
111.035	254.63	-0.470
111.036	254.64	-0.470
111.037	254.66	-0.469
111.038	254.67	-0.469
111.039	254.69	-0.469
111.040	254.70	-0.468
111.041	254.72	-0.468
111.042	254.73	-0.468
111.043	254.75	-0.467
111.044	254.76	-0.467
111.045	254.78	-0.467
111.046	254.79	-0.466
111.047	254.81	-0.466
111.048	254.82	-0.466
111.049	254.84	-0.465
111.050	254.85	-0.465
111.051	254.87	-0.465
111.052	254.88	-0.464
111.053	254.90	-0.464
111.054	254.91	-0.464
111.055	254.93	-0.464
111.056	254.94	-0.463
111.057	254.96	-0.463
111.058	254.97	-0.463
111.059	254.99	-0.462
111.060	255.00	-0.462
111.061	255.02	-0.462
111.062	255.03	-0.461
111.063	255.05	-0.461
111.064	255.06	-0.461
111.065	255.08	-0.460
111.066	255.09	-0.460
111.067	255.11	-0.460
111.068	255.12	-0.459
111.069	255.14	-0.459
111.070	255.15	-0.459
111.071	255.17	-0.458
111.072	255.18	-0.458
111.073	255.20	-0.458
111.074	255.21	-0.458
111.075	255.23	-0.457
111.076	255.24	-0.457
111.077	255.26	-0.457
111.078	255.27	-0.456
111.079	255.29	-0.456
111.080	255.30	-0.456
111.081	255.32	-0.455
111.082	255.33	-0.455
111.083	255.35	-0.455
111.084	255.36	-0.454
111.085	255.38	-0.454
111.086	255.39	-0.454
111.087	255.41	-0.453
111.088	255.42	-0.453
111.089	255.44	-0.453
111.090	255.45	-0.453
111.091	255.47	-0.452
111.092	255.48	-0.452
111.093	255.50	-0.452
111.094	255.51	-0.451
111.095	255.53	-0.451
111.096	255.54	-0.451
111.097	255.56	-0.450
111.098	255.57	-0.450
111.099	255.59	-0.450
111.100	255.60	-0.449
111.101	255.62	-0.449
111.102	255.63	-0.449
111.103	255.65	-0.448
111.104	255.66	-0.448
111.105	255.68	-0.448
111.106	255.69	-0.447
111.107	255.71	-0.447
111.108	255.72	-0.447
111.109	255.74	-0.447
111.110	255.75	-0.446
111.111	255.77	-0.446
111.112	255.78	-0.446
111.113	255.80	-0.445
111.114	255.81	-0.445
111.115	255.83	-0.445
111.116	255.84	-0.444
111.117	255.86	-0.444
111.118	255.87	-0.444
111.119	255.89	-0.443
111.120	255.90	-0.443
111.121	255.92	-0.443
111.122	255.93	-0.443
111.123	255.95	-0.442
111.124	255.96	-0.442
111.125	255.98	-0.442
111.126	255.99	-0.441
111.127	256.01	-0.441
111.128	256.02	-0.441
111.129	256.04	-0.440
111.130	256.05	-0.440
111.131	256.07	-0.440
111.132	256.08	-0.439
111.133	256.09	-0.439
111.134	256.11	-0.439
111.135	256.12	-0.438
111.136	256.14	-0.438
111.137	256.15	-0.438
111.138	256.17	-0.438
111.139	256.18	-0.437
111.140	256.20	-0.437
111.141	256.21	-0.437
111.142	256.23	-0.436
111.143	256.24	-0.436
111.144	256.26	-0.436
111.145	256.27	-0.435
111.146	256.29	-0.435
111.147	256.30	-0.435
111.148	256.32	-0.434
111.149	256.33	-0.434
111.150	256.35	-0.434
111.151	256.36	-0.434
111.152	256.38	-0.433
111.153	256.39	-0.433
111.154	256.41	-0.433
111.155	256.42	-0.432
111.156	256.44	-0.432
111.157	256.45	-0.432
111.158	256.46	-0.431
111.159	256.48	-0.431
111.160	256.49	-0.431
111.161	256.51	-0.430
111.162	256.52	-0.430
111.163	256.54	-0.430
111.164	256.55	-0.430
111.165	256.57	-0.429
111.166	256.58	-0.429
111.167	256.60	-0.429
111.168	256.61	-0.428
111.169	256.63	-0.428
111.170	256.64	-0.428
111.171	256.66	-0.427
111.172	256.67	-0.427
111.173	256.68	-0.427
111.174	256.70	-0.426
111.175	256.71	-0.426
111.176	256.73	-0.426
111.177	256.74	-0.426
111.178	256.76	-0.425
111.179	256.77	-0.425
111.180	256.79	-0.425
111.181	256.80	-0.424
111.182	256.82	-0.424
111.183	256.83	-0.424
111.184	256.85	-0.423
111.185	256.86	-0.423
111.186	256.87	-0.423
111.187	256.89	-0.423
111.188	256.90	-0.422
111.189	256.92	-0.422
111.190	256.93	-0.422
111.191	256.95	-0.421
111.192	256.96	-0.421
111.193	256.98	-0.421
111.194	256.99	-0.420
111.195	257.01	-0.420
111.196	257.02	-0.420
111.197	257.03	-0.420
111.198	257.05	-0.419
111.199	257.06	-0.419
111.200	257.08	-0.419
111.201	257.09	-0.418
111.202	257.11	-0.418
111.203	257.12	-0.418
111.204	257.14	-0.417
111.205	257.15	-0.417
111.206	257.16	-0.417
111.207	257.18	-0.416
111.208	257.19	-0.416
111.209	257.21	-0.416
111.210	257.22	-0.416
111.211	257.24	-0.415
111.212	257.25	-0.415
111.213	257.27	-0.415
111.214	257.28	-0.414
111.215	257.29	-0.414
111.216	257.31	-0.414
111.217	257.32	-0.414
111.218	257.34	-0.413
111.219	257.35	-0.413
111.220	257.37	-0.413
111.221	257.38	-0.412
111.222	257.39	-0.412
111.223	257.41	-0.412
111.224	257.42	-0.411
111.225	257.44	-0.411
111.226	257.45	-0.411
111.227	257.47	-0.411
111.228	257.48	-0.410
111.229	257.49	-0.410
111.230	257.51	-0.410
111.231	257.52	-0.409
111.232	257.54	-0.409
111.233	257.55	-0.409
111.234	257.57	-0.408
111.235	257.58	-0.408
111.236	257.59	-0.408
111.237	257.61	-0.408
111.238	257.62	-0.407
111.239	257.64	-0.407
111.240	257.65	-0.407
111.241	257.66	-0.406
111.242	257.68	-0.406
111.243	257.69	-0.406
111.244	257.71	-0.406
111.245	257.72	-0.405
111.246	257.74	-0.405
111.247	257.75	-0.405
111.248	257.76	-0.404
111.249	257.78	-0.404
111.250	257.79	-0.404
111.251	257.81	-0.403
111.252	257.82	-0.403
111.253	257.83	-0.403
111.254	257.85	-0.403
111.255	257.86	-0.402
111.256	257.88	-0.402
111.257	257.89	-0.402
111.258	257.90	-0.401
111.259	257.92	-0.401
111.260	257.93	-0.401
111.261	257.95	-0.401
111.262	257.96	-0.400
111.263	257.97	-0.400
111.264	257.99	-0.400
111.265	258.00	-0.399
111.266	258.02	-0.399
111.267	258.03	-0.399
111.268	258.04	-0.399
111.269	258.06	-0.398
111.270	258.07	-0.398
111.271	258.09	-0.398
111.272	258.10	-0.397
111.273	258.11	-0.397
111.274	258.13	-0.397
111.275	258.14	-0.397
111.276	258.16	-0.396
111.277	258.17	-0.396
111.278	258.18	-0.396
111.279	258.20	-0.395
111.280	258.21	-0.395
111.281	258.22	-0.395
111.282	258.24	-0.395
111.283	258.25	-0.394
111.284	258.27	-0.394
111.285	258.28	-0.394
111.286	258.29	-0.393
111.287	258.31	-0.393
111.288	258.32	-0.393
111.289	258.33	-0.393
111.290	258.35	-0.392
111.291	258.36	-0.392
111.292	258.38	-0.392
111.293	258.39	-0.391
111.294	258.40	-0.391
111.295	258.42	-0.391
111.296	258.43	-0.391
111.297	258.44	-0.390
111.298	258.46	-0.390
111.299	258.47	-0.390
111.300	258.48	-0.389
111.301	258.50	-0.389
111.302	258.51	-0.389
111.303	258.53	-0.389
111.304	258.54	-0.388
111.305	258.55	-0.388
111.306	258.57	-0.388
111.307	258.58	-0.387
111.308	258.59	-0.387
111.309	258.61	-0.387
111.310	258.62	-0.387
111.311	258.63	-0.386
111.312	258.65	-0.386
111.313	258.66	-0.386
111.314	258.67	-0.385
111.315	258.69	-0.385
111.316	258.70	-0.385
111.317	258.71	-0.385
111.318	258.73	-0.384
111.319	258.74	-0.384
111.320	258.75	-0.384
111.321	258.77	-0.384
111.322	258.78	-0.383
111.323	258.79	-0.383
111.324	258.81	-0.383
111.325	258.82	-0.382
111.326	258.83	-0.382
111.327	258.85	-0.382
111.328	258.86	-0.382
111.329	258.87	-0.381
111.330	258.89	-0.381
111.331	258.90	-0.381
111.332	258.91	-0.381
111.333	258.93	-0.380
111.334	258.94	-0.380
111.335	258.95	-0.380
111.336	258.97	-0.379
111.337	258.98	-0.379
111.338	258.99	-0.379
111.339	259.01	-0.379
111.340	259.02	-0.378
111.341	259.03	-0.378
111.342	259.05	-0.378
111.343	259.06	-0.378
111.344	259.07	-0.377
111.345	259.09	-0.377
111.346	259.10	-0.377
111.347	259.11	-0.376
111.348	259.12	-0.376
111.349	259.14	-0.376
111.350	259.15	-0.376
111.351	259.16	-0.375
111.352	259.18	-0.375
111.353	259.19	-0.375
111.354	259.20	-0.375
111.355	259.22	-0.374
111.356	259.23	-0.374
111.357	259.24	-0.374
111.358	259.25	-0.373
111.359	259.27	-0.373
111.360	259.28	-0.373
111.361	259.29	-0.373
111.362	259.31	-0.372
111.363	259.32	-0.372
111.364	259.33	-0.372
111.365	259.34	-0.372
111.366	259.36	-0.371
111.367	259.37	-0.371
111.368	259.38	-0.371
111.369	259.40	-0.371
111.370	259.41	-0.370
111.371	259.42	-0.370
111.372	259.43	-0.370
111.373	259.45	-0.370
111.374	259.46	-0.369
111.375	259.47	-0.369
111.376	259.48	-0.369
111.377	259.50	-0.368
111.378	259.51	-0.368
111.379	259.52	-0.368
111.380	259.54	-0.368
111.381	259.55	-0.367
111.382	259.56	-0.367
111.383	259.57	-0.367
111.384	259.59	-0.367
111.385	259.60	-0.366
111.386	259.61	-0.366
111.387	259.62	-0.366
111.388	259.64	-0.366
111.389	259.65	-0.365
111.390	259.66	-0.365
111.391	259.67	-0.365
111.392	259.69	-0.365
111.393	259.70	-0.364
111.394	259.71	-0.364
111.395	259.72	-0.364
111.396	259.74	-0.364
111.397	259.75	-0.363
111.398	259.76	-0.363
111.399	259.77	-0.363
111.400	259.79	-0.363
111.401	259.80	-0.362
111.402	259.81	-0.362
111.403	259.82	-0.362
111.404	259.83	-0.362
111.405	259.85	-0.361
111.406	259.86	-0.361
111.407	259.87	-0.361
111.408	259.88	-0.361
111.409	259.90	-0.360
111.410	259.91	-0.360
111.411	259.92	-0.360
111.412	259.93	-0.360
111.413	259.94	-0.359
111.414	259.96	-0.359
111.415	259.97	-0.359
111.416	259.98	-0.359
111.417	259.99	-0.358
111.418	260.01	-0.358
111.419	260.02	-0.358
111.420	260.03	-0.358
111.421	260.04	-0.357
111.422	260.05	-0.357
111.423	260.07	-0.357
111.424	260.08	-0.357
111.425	260.09	-0.356
111.426	260.10	-0.356
111.427	260.11	-0.356
111.428	260.13	-0.356
111.429	260.14	-0.355
111.430	260.15	-0.355
111.431	260.16	-0.355
111.432	260.17	-0.355
111.433	260.18	-0.354
111.434	260.20	-0.354
111.435	260.21	-0.354
111.436	260.22	-0.354
111.437	260.23	-0.353
111.438	260.24	-0.353
111.439	260.26	-0.353
111.440	260.27	-0.353
111.441	260.28	-0.352
111.442	260.29	-0.352
111.443	260.30	-0.352
111.444	260.31	-0.352
111.445	260.33	-0.351
111.446	260.34	-0.351
111.447	260.35	-0.351
111.448	260.36	-0.351
111.449	260.37	-0.350
111.450	260.38	-0.350
111.451	260.40	-0.350
111.452	260.41	-0.350
111.453	260.42	-0.350
111.454	260.43	-0.349
111.455	260.44	-0.349
111.456	260.45	-0.349
111.457	260.47	-0.349
111.458	260.48	-0.348
111.459	260.49	-0.348
111.460	260.50	-0.348
111.461	260.51	-0.348
111.462	260.52	-0.347
111.463	260.53	-0.347
111.464	260.54	-0.347
111.465	260.56	-0.347
111.466	260.57	-0.346
111.467	260.58	-0.346
111.468	260.59	-0.346
111.469	260.60	-0.346
111.470	260.61	-0.346
111.471	260.62	-0.345
111.472	260.64	-0.345
111.473	260.65	-0.345
111.474	260.66	-0.345
111.475	260.67	-0.344
111.476	260.68	-0.344
111.477	260.69	-0.344
111.478	260.70	-0.344
111.479	260.71	-0.343
111.480	260.72	-0.343
111.481	260.74	-0.343
111.482	260.75	-0.343
111.483	260.76	-0.343
111.484	260.77	-0.342
111.485	260.78	-0.342
111.486	260.79	-0.342
111.487	260.80	-0.342
111.488	260.81	-0.341
111.489	260.82	-0.341
111.490	260.83	-0.341
111.491	260.85	-0.341
111.492	260.86	-0.341
111.493	260.87	-0.340
111.494	260.88	-0.340
111.495	260.89	-0.340
111.496	260.90	-0.340
111.497	260.91	-0.339
111.498	260.92	-0.339
111.499	260.93	-0.339
111.500	260.94	-0.339
111.501	260.95	-0.339
111.502	260.96	-0.338
111.503	260.97	-0.338
111.504	260.99	-0.338
111.505	261.00	-0.338
111.506	261.01	-0.337
111.507	261.02	-0.337
111.508	261.03	-0.337
111.509	261.04	-0.337
111.510	261.05	-0.337
111.511	261.06	-0.336
111.512	261.07	-0.336
111.513	261.08	-0.336
111.514	261.09	-0.336
111.515	261.10	-0.336
111.516	261.11	-0.335
111.517	261.12	-0.335
111.518	261.13	-0.335
111.519	261.14	-0.335
111.520	261.15	-0.334
111.521	261.16	-0.334
111.522	261.17	-0.334
111.523	261.18	-0.334
111.524	261.20	-0.334
111.525	261.21	-0.333
111.526	261.22	-0.333
111.527	261.23	-0.333
111.528	261.24	-0.333
111.529	261.25	-0.333
111.530	261.26	-0.332
111.531	261.27	-0.332
111.532	261.28	-0.332
111.533	261.29	-0.332
111.534	261.30	-0.332
111.535	261.31	-0.331
111.536	261.32	-0.331
111.537	261.33	-0.331
111.538	261.34	-0.331
111.539	261.35	-0.330
111.540	261.36	-0.330
111.541	261.37	-0.330
111.542	261.38	-0.330
111.543	261.39	-0.330
111.544	261.40	-0.329
111.545	261.41	-0.329
111.546	261.42	-0.329
111.547	261.43	-0.329
111.548	261.44	-0.329
111.549	261.45	-0.328
111.550	261.46	-0.328
111.551	261.47	-0.328
111.552	261.48	-0.328
111.553	261.49	-0.328
111.554	261.49	-0.327
111.555	261.50	-0.327
111.556	261.51	-0.327
111.557	261.52	-0.327
111.558	261.53	-0.327
111.559	261.54	-0.326
111.560	261.55	-0.326
111.561	261.56	-0.326
111.562	261.57	-0.326
111.563	261.58	-0.326
111.564	261.59	-0.325
111.565	261.60	-0.325
111.566	261.61	-0.325
111.567	261.62	-0.325
111.568	261.63	-0.325
111.569	261.64	-0.325
111.570	261.65	-0.324
111.571	261.66	-0.324
111.572	261.67	-0.324
111.573	261.68	-0.324
111.574	261.68	-0.324
111.575	261.69	-0.323
111.576	261.70	-0.323
111.577	261.71	-0.323
111.578	261.72	-0.323
111.579	261.73	-0.323
111.580	261.74	-0.322
111.581	261.75	-0.322
111.582	261.76	-0.322
111.583	261.77	-0.322
111.584	261.78	-0.322
111.585	261.79	-0.322
111.586	261.79	-0.321
111.587	261.80	-0.321
111.588	261.81	-0.321
111.589	261.82	-0.321
111.590	261.83	-0.321
111.591	261.84	-0.320
111.592	261.85	-0.320
111.593	261.86	-0.320
111.594	261.87	-0.320
111.595	261.88	-0.320
111.596	261.88	-0.319
111.597	261.89	-0.319
111.598	261.90	-0.319
111.599	261.91	-0.319
111.600	261.92	-0.319
111.601	261.93	-0.319
111.602	261.94	-0.318
111.603	261.95	-0.318
111.604	261.95	-0.318
111.605	261.96	-0.318
111.606	261.97	-0.318
111.607	261.98	-0.318
111.608	261.99	-0.317
111.609	262.00	-0.317
111.610	262.01	-0.317
111.611	262.01	-0.317
111.612	262.02	-0.317
111.613	262.03	-0.317
111.614	262.04	-0.316
111.615	262.05	-0.316
111.616	262.06	-0.316
111.617	262.06	-0.316
111.618	262.07	-0.316
111.619	262.08	-0.315
111.620	262.09	-0.315
111.621	262.10	-0.315
111.622	262.11	-0.315
111.623	262.11	-0.315
111.624	262.12	-0.315
111.625	262.13	-0.314
111.626	262.14	-0.314
111.627	262.15	-0.314
111.628	262.15	-0.314
111.629	262.16	-0.314
111.630	262.17	-0.314
111.631	262.18	-0.313
111.632	262.19	-0.313
111.633	262.20	-0.313
111.634	262.20	-0.313
111.635	262.21	-0.313
111.636	262.22	-0.313
111.637	262.23	-0.312
111.638	262.23	-0.312
111.639	262.24	-0.312
111.640	262.25	-0.312
111.641	262.26	-0.312
111.642	262.27	-0.312
111.643	262.27	-0.312
111.644	262.28	-0.311
111.645	262.29	-0.311
111.646	262.30	-0.311
111.647	262.30	-0.311
111.648	262.31	-0.311
111.649	262.32	-0.311
111.650	262.33	-0.310
111.651	262.34	-0.310
111.652	262.34	-0.310
111.653	262.35	-0.310
111.654	262.36	-0.310
111.655	262.37	-0.310
111.656	262.37	-0.310
111.657	262.38	-0.309
111.658	262.39	-0.309
111.659	262.40	-0.309
111.660	262.40	-0.309
111.661	262.41	-0.309
111.662	262.42	-0.309
111.663	262.42	-0.308
111.664	262.43	-0.308
111.665	262.44	-0.308
111.666	262.45	-0.308
111.667	262.45	-0.308
111.668	262.46	-0.308
111.669	262.47	-0.308
111.670	262.48	-0.307
111.671	262.48	-0.307
111.672	262.49	-0.307
111.673	262.50	-0.307
111.674	262.50	-0.307
111.675	262.51	-0.307
111.676	262.52	-0.307
111.677	262.53	-0.306
111.678	262.53	-0.306
111.679	262.54	-0.306
111.680	262.55	-0.306
111.681	262.55	-0.306
111.682	262.56	-0.306
111.683	262.57	-0.306
111.684	262.57	-0.305
111.685	262.58	-0.305
111.686	262.59	-0.305
111.687	262.59	-0.305
111.688	262.60	-0.305
111.689	262.61	-0.305
111.690	262.61	-0.305
111.691	262.62	-0.304
111.692	262.63	-0.304
111.693	262.63	-0.304
111.694	262.64	-0.304
111.695	262.65	-0.304
111.696	262.65	-0.304
111.697	262.66	-0.304
111.698	262.67	-0.304
111.699	262.67	-0.303
111.700	262.68	-0.303
111.701	262.69	-0.303
111.702	262.69	-0.303
111.703	262.70	-0.303
111.704	262.71	-0.303
111.705	262.71	-0.303
111.706	262.72	-0.302
111.707	262.73	-0.302
111.708	262.73	-0.302
111.709	262.74	-0.302
111.710	262.75	-0.302
111.711	262.75	-0.302
111.712	262.76	-0.302
111.713	262.76	-0.302
111.714	262.77	-0.301
111.715	262.78	-0.301
111.716	262.78	-0.301
111.717	262.79	-0.301
111.718	262.80	-0.301
111.719	262.80	-0.301
111.720	262.81	-0.301
111.721	262.81	-0.301
111.722	262.82	-0.300
111.723	262.83	-0.300
111.724	262.83	-0.300
111.725	262.84	-0.300
111.726	262.84	-0.300
111.727	262.85	-0.300
111.728	262.86	-0.300
111.729	262.86	-0.300
111.730	262.87	-0.299
111.731	262.87	-0.299
111.732	262.88	-0.299
111.733	262.89	-0.299
111.734	262.89	-0.299
111.735	262.90	-0.299
111.736	262.90	-0.299
111.737	262.91	-0.299
111.738	262.91	-0.298
111.739	262.92	-0.298
111.740	262.93	-0.298
111.741	262.93	-0.298
111.742	262.94	-0.298
111.743	262.94	-0.298
111.744	262.95	-0.298
111.745	262.95	-0.298
111.746	262.96	-0.298
111.747	262.97	-0.297
111.748	262.97	-0.297
111.749	262.98	-0.297
111.750	262.98	-0.297
111.751	262.99	-0.297
111.752	262.99	-0.297
111.753	263.00	-0.297
111.754	263.00	-0.297
111.755	263.01	-0.297
111.756	263.01	-0.296
111.757	263.02	-0.296
111.758	263.03	-0.296
111.759	263.03	-0.296
111.760	263.04	-0.296
111.761	263.04	-0.296
111.762	263.05	-0.296
111.763	263.05	-0.296
111.764	263.06	-0.296
111.765	263.06	-0.295
111.766	263.07	-0.295
111.767	263.07	-0.295
111.768	263.08	-0.295
111.769	263.08	-0.295
111.770	263.09	-0.295
111.771	263.09	-0.295
111.772	263.10	-0.295
111.773	263.10	-0.295
111.774	263.11	-0.295
111.775	263.11	-0.294
111.776	263.12	-0.294
111.777	263.12	-0.294
111.778	263.13	-0.294
111.779	263.13	-0.294
111.780	263.14	-0.294
111.781	263.14	-0.294
111.782	263.15	-0.294
111.783	263.15	-0.294
111.784	263.16	-0.294
111.785	263.16	-0.293
