/* DATA DESCRIPTION:
Citation:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous record of the atmospheric greenhouse gas methane (CH4), final spline-smoothed data of calculated radiative forcing (Version 1) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.871270, 
	In supplement to: Köhler, P et al. (2017): A 156 kyr smoothed history of the atmospheric greenhouse gases CO2, CH4, and N2O and their radiative forcing. Earth System Science Data, 9(1), 363-387, https://doi.org/10.5194/essd-9-363-2017
New version:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous record of the atmospheric greenhouse gas methane (CH4), final spline-smoothed data of calculated radiative forcing (Version 2). PANGAEA, https://doi.org/10.1594/PANGAEA.876009
Related to:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous records of the atmospheric greenhouse gases CO2, CH4, and N2O and their radiative forcing since the penultimate glacial maximum. Earth System Science Data Discussions, https://doi.org/10.5194/essd-2017-6
Comment:	Final spline with 156278 lines (-66 BP to 156211 BP).
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html)
	Methane, dry-air mole fraction [nmol/mol] (CH4) * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html) * COMMENT: nmol/mol = ppb
	Radiative forcing of atmospheric methane [W/m**2] (dR_[CH4]) * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html) * COMMENT: = 1.4 * 0.036 * (sqrt(CH4/ppb)-sqrt(742))
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	312556 data points
*/
Age [ka BP]	CH4 [nmol/mol]	dR_[CH4] [W/m**2]
149.157	450.39	-0.303
149.158	450.48	-0.303
149.159	450.58	-0.303
149.160	450.67	-0.303
149.161	450.77	-0.303
149.162	450.86	-0.303
149.163	450.95	-0.303
149.164	451.05	-0.302
149.165	451.14	-0.302
149.166	451.23	-0.302
149.167	451.33	-0.302
149.168	451.42	-0.302
149.169	451.51	-0.302
149.170	451.61	-0.302
149.171	451.70	-0.302
149.172	451.79	-0.302
149.173	451.89	-0.301
149.174	451.98	-0.301
149.175	452.07	-0.301
149.176	452.16	-0.301
149.177	452.25	-0.301
149.178	452.35	-0.301
149.179	452.44	-0.301
149.180	452.53	-0.301
149.181	452.62	-0.301
149.182	452.71	-0.301
149.183	452.80	-0.300
149.184	452.89	-0.300
149.185	452.98	-0.300
149.186	453.07	-0.300
149.187	453.16	-0.300
149.188	453.25	-0.300
149.189	453.34	-0.300
149.190	453.43	-0.300
149.191	453.52	-0.300
149.192	453.61	-0.299
149.193	453.70	-0.299
149.194	453.79	-0.299
149.195	453.88	-0.299
149.196	453.97	-0.299
149.197	454.06	-0.299
149.198	454.15	-0.299
149.199	454.23	-0.299
149.200	454.32	-0.299
149.201	454.41	-0.299
149.202	454.50	-0.298
149.203	454.58	-0.298
149.204	454.67	-0.298
149.205	454.76	-0.298
149.206	454.84	-0.298
149.207	454.93	-0.298
149.208	455.02	-0.298
149.209	455.10	-0.298
149.210	455.19	-0.298
149.211	455.27	-0.297
149.212	455.36	-0.297
149.213	455.44	-0.297
149.214	455.53	-0.297
149.215	455.61	-0.297
149.216	455.70	-0.297
149.217	455.78	-0.297
149.218	455.87	-0.297
149.219	455.95	-0.297
149.220	456.03	-0.297
149.221	456.12	-0.296
149.222	456.20	-0.296
149.223	456.28	-0.296
149.224	456.36	-0.296
149.225	456.45	-0.296
149.226	456.53	-0.296
149.227	456.61	-0.296
149.228	456.69	-0.296
149.229	456.77	-0.296
149.230	456.85	-0.296
149.231	456.94	-0.296
149.232	457.02	-0.295
149.233	457.10	-0.295
149.234	457.18	-0.295
149.235	457.26	-0.295
149.236	457.34	-0.295
149.237	457.41	-0.295
149.238	457.49	-0.295
149.239	457.57	-0.295
149.240	457.65	-0.295
149.241	457.73	-0.295
149.242	457.81	-0.295
149.243	457.88	-0.294
149.244	457.96	-0.294
149.245	458.04	-0.294
149.246	458.12	-0.294
149.247	458.19	-0.294
149.248	458.27	-0.294
149.249	458.34	-0.294
149.250	458.42	-0.294
149.251	458.49	-0.294
149.252	458.57	-0.294
149.253	458.64	-0.294
149.254	458.72	-0.293
149.255	458.79	-0.293
149.256	458.87	-0.293
149.257	458.94	-0.293
149.258	459.01	-0.293
149.259	459.09	-0.293
149.260	459.16	-0.293
149.261	459.23	-0.293
149.262	459.30	-0.293
149.263	459.37	-0.293
149.264	459.45	-0.293
149.265	459.52	-0.292
149.266	459.59	-0.292
149.267	459.66	-0.292
149.268	459.73	-0.292
149.269	459.80	-0.292
149.270	459.87	-0.292
149.271	459.94	-0.292
149.272	460.01	-0.292
149.273	460.07	-0.292
149.274	460.14	-0.292
149.275	460.21	-0.292
149.276	460.28	-0.292
149.277	460.34	-0.292
149.278	460.41	-0.291
149.279	460.48	-0.291
149.280	460.54	-0.291
149.281	460.61	-0.291
149.282	460.68	-0.291
149.283	460.74	-0.291
149.284	460.81	-0.291
149.285	460.87	-0.291
149.286	460.93	-0.291
149.287	461.00	-0.291
149.288	461.06	-0.291
149.289	461.12	-0.291
149.290	461.19	-0.291
149.291	461.25	-0.290
149.292	461.31	-0.290
149.293	461.37	-0.290
149.294	461.43	-0.290
149.295	461.49	-0.290
149.296	461.55	-0.290
149.297	461.61	-0.290
149.298	461.67	-0.290
149.299	461.73	-0.290
149.300	461.79	-0.290
149.301	461.85	-0.290
149.302	461.91	-0.290
149.303	461.97	-0.290
149.304	462.02	-0.290
149.305	462.08	-0.289
149.306	462.14	-0.289
149.307	462.19	-0.289
149.308	462.25	-0.289
149.309	462.30	-0.289
149.310	462.36	-0.289
149.311	462.41	-0.289
149.312	462.47	-0.289
149.313	462.52	-0.289
149.314	462.58	-0.289
149.315	462.63	-0.289
149.316	462.68	-0.289
149.317	462.73	-0.289
149.318	462.79	-0.289
149.319	462.84	-0.289
149.320	462.89	-0.289
149.321	462.94	-0.288
149.322	462.99	-0.288
149.323	463.04	-0.288
149.324	463.09	-0.288
149.325	463.14	-0.288
149.326	463.19	-0.288
149.327	463.23	-0.288
149.328	463.28	-0.288
149.329	463.33	-0.288
149.330	463.37	-0.288
149.331	463.42	-0.288
149.332	463.47	-0.288
149.333	463.51	-0.288
149.334	463.56	-0.288
149.335	463.60	-0.288
149.336	463.65	-0.288
149.337	463.69	-0.288
149.338	463.73	-0.288
149.339	463.78	-0.287
149.340	463.82	-0.287
149.341	463.86	-0.287
149.342	463.90	-0.287
149.343	463.94	-0.287
149.344	463.98	-0.287
149.345	464.02	-0.287
149.346	464.06	-0.287
149.347	464.10	-0.287
149.348	464.14	-0.287
149.349	464.18	-0.287
149.350	464.22	-0.287
149.351	464.25	-0.287
149.352	464.29	-0.287
149.353	464.33	-0.287
149.354	464.36	-0.287
149.355	464.40	-0.287
149.356	464.43	-0.287
149.357	464.47	-0.287
149.358	464.50	-0.287
149.359	464.53	-0.287
149.360	464.57	-0.287
149.361	464.60	-0.287
149.362	464.63	-0.286
149.363	464.66	-0.286
149.364	464.69	-0.286
149.365	464.73	-0.286
149.366	464.76	-0.286
149.367	464.78	-0.286
149.368	464.81	-0.286
149.369	464.84	-0.286
149.370	464.87	-0.286
149.371	464.90	-0.286
149.372	464.92	-0.286
149.373	464.95	-0.286
149.374	464.98	-0.286
149.375	465.00	-0.286
149.376	465.03	-0.286
149.377	465.05	-0.286
149.378	465.08	-0.286
149.379	465.10	-0.286
149.380	465.12	-0.286
149.381	465.14	-0.286
149.382	465.17	-0.286
149.383	465.19	-0.286
149.384	465.21	-0.286
149.385	465.23	-0.286
149.386	465.25	-0.286
149.387	465.27	-0.286
149.388	465.29	-0.286
149.389	465.30	-0.286
149.390	465.32	-0.286
149.391	465.34	-0.286
149.392	465.36	-0.286
149.393	465.37	-0.286
149.394	465.39	-0.286
149.395	465.40	-0.286
149.396	465.42	-0.286
149.397	465.43	-0.286
149.398	465.44	-0.286
149.399	465.46	-0.286
149.400	465.47	-0.286
149.401	465.48	-0.286
149.402	465.49	-0.285
149.403	465.50	-0.285
149.404	465.51	-0.285
149.405	465.52	-0.285
149.406	465.53	-0.285
149.407	465.54	-0.285
149.408	465.54	-0.285
149.409	465.55	-0.285
149.410	465.56	-0.285
149.411	465.56	-0.285
149.412	465.57	-0.285
149.413	465.57	-0.285
149.414	465.58	-0.285
149.415	465.58	-0.285
149.416	465.58	-0.285
149.417	465.59	-0.285
149.418	465.59	-0.285
149.419	465.59	-0.285
149.420	465.59	-0.285
149.421	465.59	-0.285
149.422	465.59	-0.285
149.423	465.59	-0.285
149.424	465.59	-0.285
149.425	465.59	-0.285
149.426	465.58	-0.285
149.427	465.58	-0.285
149.428	465.58	-0.285
149.429	465.57	-0.285
149.430	465.57	-0.285
149.431	465.56	-0.285
149.432	465.56	-0.285
149.433	465.55	-0.285
149.434	465.54	-0.285
149.435	465.54	-0.285
149.436	465.53	-0.285
149.437	465.52	-0.285
149.438	465.51	-0.285
149.439	465.50	-0.285
149.440	465.49	-0.285
149.441	465.48	-0.286
149.442	465.47	-0.286
149.443	465.46	-0.286
149.444	465.44	-0.286
149.445	465.43	-0.286
149.446	465.42	-0.286
149.447	465.40	-0.286
149.448	465.39	-0.286
149.449	465.37	-0.286
149.450	465.36	-0.286
149.451	465.34	-0.286
149.452	465.33	-0.286
149.453	465.31	-0.286
149.454	465.29	-0.286
149.455	465.27	-0.286
149.456	465.26	-0.286
149.457	465.24	-0.286
149.458	465.22	-0.286
149.459	465.20	-0.286
149.460	465.18	-0.286
149.461	465.16	-0.286
149.462	465.13	-0.286
149.463	465.11	-0.286
149.464	465.09	-0.286
149.465	465.07	-0.286
149.466	465.04	-0.286
149.467	465.02	-0.286
149.468	465.00	-0.286
149.469	464.97	-0.286
149.470	464.95	-0.286
149.471	464.92	-0.286
149.472	464.89	-0.286
149.473	464.87	-0.286
149.474	464.84	-0.286
149.475	464.81	-0.286
149.476	464.78	-0.286
149.477	464.75	-0.286
149.478	464.73	-0.286
149.479	464.70	-0.286
149.480	464.67	-0.286
149.481	464.64	-0.286
149.482	464.60	-0.287
149.483	464.57	-0.287
149.484	464.54	-0.287
149.485	464.51	-0.287
149.486	464.48	-0.287
149.487	464.44	-0.287
149.488	464.41	-0.287
149.489	464.38	-0.287
149.490	464.34	-0.287
149.491	464.31	-0.287
149.492	464.27	-0.287
149.493	464.23	-0.287
149.494	464.20	-0.287
149.495	464.16	-0.287
149.496	464.12	-0.287
149.497	464.09	-0.287
149.498	464.05	-0.287
149.499	464.01	-0.287
149.500	463.97	-0.287
149.501	463.93	-0.287
149.502	463.89	-0.287
149.503	463.85	-0.287
149.504	463.81	-0.287
149.505	463.77	-0.287
149.506	463.73	-0.288
149.507	463.69	-0.288
149.508	463.65	-0.288
149.509	463.60	-0.288
149.510	463.56	-0.288
149.511	463.52	-0.288
149.512	463.47	-0.288
149.513	463.43	-0.288
149.514	463.38	-0.288
149.515	463.34	-0.288
149.516	463.29	-0.288
149.517	463.25	-0.288
149.518	463.20	-0.288
149.519	463.15	-0.288
149.520	463.11	-0.288
149.521	463.06	-0.288
149.522	463.01	-0.288
149.523	462.96	-0.288
149.524	462.92	-0.289
149.525	462.87	-0.289
149.526	462.82	-0.289
149.527	462.77	-0.289
149.528	462.72	-0.289
149.529	462.67	-0.289
149.530	462.62	-0.289
149.531	462.56	-0.289
149.532	462.51	-0.289
149.533	462.46	-0.289
149.534	462.41	-0.289
149.535	462.36	-0.289
149.536	462.30	-0.289
149.537	462.25	-0.289
149.538	462.19	-0.289
149.539	462.14	-0.289
149.540	462.09	-0.289
149.541	462.03	-0.290
149.542	461.98	-0.290
149.543	461.92	-0.290
149.544	461.86	-0.290
149.545	461.81	-0.290
149.546	461.75	-0.290
149.547	461.69	-0.290
149.548	461.64	-0.290
149.549	461.58	-0.290
149.550	461.52	-0.290
149.551	461.46	-0.290
149.552	461.40	-0.290
149.553	461.35	-0.290
149.554	461.29	-0.290
149.555	461.23	-0.290
149.556	461.17	-0.291
149.557	461.11	-0.291
149.558	461.04	-0.291
149.559	460.98	-0.291
149.560	460.92	-0.291
149.561	460.86	-0.291
149.562	460.80	-0.291
149.563	460.74	-0.291
149.564	460.67	-0.291
149.565	460.61	-0.291
149.566	460.55	-0.291
149.567	460.48	-0.291
149.568	460.42	-0.291
149.569	460.36	-0.292
149.570	460.29	-0.292
149.571	460.23	-0.292
149.572	460.16	-0.292
149.573	460.10	-0.292
149.574	460.03	-0.292
149.575	459.96	-0.292
149.576	459.90	-0.292
149.577	459.83	-0.292
149.578	459.76	-0.292
149.579	459.70	-0.292
149.580	459.63	-0.292
149.581	459.56	-0.292
149.582	459.49	-0.293
149.583	459.43	-0.293
149.584	459.36	-0.293
149.585	459.29	-0.293
149.586	459.22	-0.293
149.587	459.15	-0.293
149.588	459.08	-0.293
149.589	459.01	-0.293
149.590	458.94	-0.293
149.591	458.87	-0.293
149.592	458.80	-0.293
149.593	458.73	-0.293
149.594	458.66	-0.294
149.595	458.58	-0.294
149.596	458.51	-0.294
149.597	458.44	-0.294
149.598	458.37	-0.294
149.599	458.29	-0.294
149.600	458.22	-0.294
149.601	458.15	-0.294
149.602	458.08	-0.294
149.603	458.00	-0.294
149.604	457.93	-0.294
149.605	457.85	-0.294
149.606	457.78	-0.295
149.607	457.70	-0.295
149.608	457.63	-0.295
149.609	457.55	-0.295
149.610	457.48	-0.295
149.611	457.40	-0.295
149.612	457.33	-0.295
149.613	457.25	-0.295
149.614	457.17	-0.295
149.615	457.10	-0.295
149.616	457.02	-0.295
149.617	456.94	-0.296
149.618	456.87	-0.296
149.619	456.79	-0.296
149.620	456.71	-0.296
149.621	456.63	-0.296
149.622	456.56	-0.296
149.623	456.48	-0.296
149.624	456.40	-0.296
149.625	456.32	-0.296
149.626	456.24	-0.296
149.627	456.16	-0.296
149.628	456.08	-0.297
149.629	456.00	-0.297
149.630	455.92	-0.297
149.631	455.84	-0.297
149.632	455.76	-0.297
149.633	455.68	-0.297
149.634	455.60	-0.297
149.635	455.52	-0.297
149.636	455.44	-0.297
149.637	455.36	-0.297
149.638	455.28	-0.297
149.639	455.20	-0.298
149.640	455.11	-0.298
149.641	455.03	-0.298
149.642	454.95	-0.298
149.643	454.87	-0.298
149.644	454.79	-0.298
149.645	454.70	-0.298
149.646	454.62	-0.298
149.647	454.54	-0.298
149.648	454.45	-0.298
149.649	454.37	-0.299
149.650	454.29	-0.299
149.651	454.20	-0.299
149.652	454.12	-0.299
149.653	454.04	-0.299
149.654	453.95	-0.299
149.655	453.87	-0.299
149.656	453.78	-0.299
149.657	453.70	-0.299
149.658	453.61	-0.299
149.659	453.53	-0.300
149.660	453.44	-0.300
149.661	453.36	-0.300
149.662	453.27	-0.300
149.663	453.19	-0.300
149.664	453.10	-0.300
149.665	453.02	-0.300
149.666	452.93	-0.300
149.667	452.84	-0.300
149.668	452.76	-0.300
149.669	452.67	-0.301
149.670	452.58	-0.301
149.671	452.50	-0.301
149.672	452.41	-0.301
149.673	452.32	-0.301
149.674	452.24	-0.301
149.675	452.15	-0.301
149.676	452.06	-0.301
149.677	451.97	-0.301
149.678	451.89	-0.301
149.679	451.80	-0.302
149.680	451.71	-0.302
149.681	451.62	-0.302
149.682	451.54	-0.302
149.683	451.45	-0.302
149.684	451.36	-0.302
149.685	451.27	-0.302
149.686	451.18	-0.302
149.687	451.09	-0.302
149.688	451.00	-0.303
149.689	450.92	-0.303
149.690	450.83	-0.303
149.691	450.74	-0.303
149.692	450.65	-0.303
149.693	450.56	-0.303
149.694	450.47	-0.303
149.695	450.38	-0.303
149.696	450.29	-0.303
149.697	450.20	-0.303
149.698	450.11	-0.304
149.699	450.02	-0.304
149.700	449.93	-0.304
149.701	449.84	-0.304
149.702	449.75	-0.304
149.703	449.66	-0.304
149.704	449.57	-0.304
149.705	449.48	-0.304
149.706	449.39	-0.304
149.707	449.30	-0.305
149.708	449.21	-0.305
149.709	449.12	-0.305
149.710	449.03	-0.305
149.711	448.94	-0.305
149.712	448.85	-0.305
149.713	448.76	-0.305
149.714	448.67	-0.305
149.715	448.58	-0.305
149.716	448.49	-0.306
149.717	448.39	-0.306
149.718	448.30	-0.306
149.719	448.21	-0.306
149.720	448.12	-0.306
149.721	448.03	-0.306
149.722	447.94	-0.306
149.723	447.85	-0.306
149.724	447.76	-0.306
149.725	447.66	-0.307
149.726	447.57	-0.307
149.727	447.48	-0.307
149.728	447.39	-0.307
149.729	447.30	-0.307
149.730	447.21	-0.307
149.731	447.12	-0.307
149.732	447.02	-0.307
149.733	446.93	-0.307
149.734	446.84	-0.307
149.735	446.75	-0.308
149.736	446.66	-0.308
149.737	446.57	-0.308
149.738	446.47	-0.308
149.739	446.38	-0.308
149.740	446.29	-0.308
149.741	446.20	-0.308
149.742	446.11	-0.308
149.743	446.02	-0.308
149.744	445.92	-0.309
149.745	445.83	-0.309
149.746	445.74	-0.309
149.747	445.65	-0.309
149.748	445.56	-0.309
149.749	445.46	-0.309
149.750	445.37	-0.309
149.751	445.28	-0.309
149.752	445.19	-0.309
149.753	445.10	-0.310
149.754	445.01	-0.310
149.755	444.91	-0.310
149.756	444.82	-0.310
149.757	444.73	-0.310
149.758	444.64	-0.310
149.759	444.55	-0.310
149.760	444.45	-0.310
149.761	444.36	-0.310
149.762	444.27	-0.311
149.763	444.18	-0.311
149.764	444.09	-0.311
149.765	444.00	-0.311
149.766	443.90	-0.311
149.767	443.81	-0.311
149.768	443.72	-0.311
149.769	443.63	-0.311
149.770	443.54	-0.311
149.771	443.45	-0.312
149.772	443.36	-0.312
149.773	443.26	-0.312
149.774	443.17	-0.312
149.775	443.08	-0.312
149.776	442.99	-0.312
149.777	442.90	-0.312
149.778	442.81	-0.312
149.779	442.72	-0.312
149.780	442.63	-0.313
149.781	442.54	-0.313
149.782	442.44	-0.313
149.783	442.35	-0.313
149.784	442.26	-0.313
149.785	442.17	-0.313
149.786	442.08	-0.313
149.787	441.99	-0.313
149.788	441.90	-0.313
149.789	441.81	-0.314
149.790	441.72	-0.314
149.791	441.63	-0.314
149.792	441.54	-0.314
149.793	441.45	-0.314
149.794	441.36	-0.314
149.795	441.27	-0.314
149.796	441.18	-0.314
149.797	441.09	-0.314
149.798	441.00	-0.314
149.799	440.91	-0.315
149.800	440.82	-0.315
149.801	440.73	-0.315
149.802	440.64	-0.315
149.803	440.55	-0.315
149.804	440.46	-0.315
149.805	440.37	-0.315
149.806	440.29	-0.315
149.807	440.20	-0.315
149.808	440.11	-0.316
149.809	440.02	-0.316
149.810	439.93	-0.316
149.811	439.84	-0.316
149.812	439.75	-0.316
149.813	439.66	-0.316
149.814	439.58	-0.316
149.815	439.49	-0.316
149.816	439.40	-0.316
149.817	439.31	-0.317
149.818	439.23	-0.317
149.819	439.14	-0.317
149.820	439.05	-0.317
149.821	438.96	-0.317
149.822	438.88	-0.317
149.823	438.79	-0.317
149.824	438.70	-0.317
149.825	438.61	-0.317
149.826	438.53	-0.317
149.827	438.44	-0.318
149.828	438.36	-0.318
149.829	438.27	-0.318
149.830	438.18	-0.318
149.831	438.10	-0.318
149.832	438.01	-0.318
149.833	437.93	-0.318
149.834	437.84	-0.318
149.835	437.75	-0.318
149.836	437.67	-0.318
149.837	437.58	-0.319
149.838	437.50	-0.319
149.839	437.41	-0.319
149.840	437.33	-0.319
149.841	437.24	-0.319
149.842	437.16	-0.319
149.843	437.08	-0.319
149.844	436.99	-0.319
149.845	436.91	-0.319
149.846	436.82	-0.320
149.847	436.74	-0.320
149.848	436.66	-0.320
149.849	436.57	-0.320
149.850	436.49	-0.320
149.851	436.41	-0.320
149.852	436.33	-0.320
149.853	436.24	-0.320
149.854	436.16	-0.320
149.855	436.08	-0.320
149.856	436.00	-0.320
149.857	435.92	-0.321
149.858	435.83	-0.321
149.859	435.75	-0.321
149.860	435.67	-0.321
149.861	435.59	-0.321
149.862	435.51	-0.321
149.863	435.43	-0.321
149.864	435.35	-0.321
149.865	435.27	-0.321
149.866	435.19	-0.321
149.867	435.11	-0.322
149.868	435.03	-0.322
149.869	434.95	-0.322
149.870	434.87	-0.322
149.871	434.79	-0.322
149.872	434.71	-0.322
149.873	434.63	-0.322
149.874	434.56	-0.322
149.875	434.48	-0.322
149.876	434.40	-0.322
149.877	434.32	-0.323
149.878	434.24	-0.323
149.879	434.17	-0.323
149.880	434.09	-0.323
149.881	434.01	-0.323
149.882	433.94	-0.323
149.883	433.86	-0.323
149.884	433.78	-0.323
149.885	433.71	-0.323
149.886	433.63	-0.323
149.887	433.56	-0.323
149.888	433.48	-0.324
149.889	433.41	-0.324
149.890	433.33	-0.324
149.891	433.26	-0.324
149.892	433.18	-0.324
149.893	433.11	-0.324
149.894	433.04	-0.324
149.895	432.96	-0.324
149.896	432.89	-0.324
149.897	432.82	-0.324
149.898	432.74	-0.324
149.899	432.67	-0.325
149.900	432.60	-0.325
149.901	432.53	-0.325
149.902	432.46	-0.325
149.903	432.39	-0.325
149.904	432.31	-0.325
149.905	432.24	-0.325
149.906	432.17	-0.325
149.907	432.10	-0.325
149.908	432.03	-0.325
149.909	431.96	-0.325
149.910	431.89	-0.325
149.911	431.82	-0.326
149.912	431.76	-0.326
149.913	431.69	-0.326
149.914	431.62	-0.326
149.915	431.55	-0.326
149.916	431.48	-0.326
149.917	431.41	-0.326
149.918	431.35	-0.326
149.919	431.28	-0.326
149.920	431.21	-0.326
149.921	431.15	-0.326
149.922	431.08	-0.326
149.923	431.02	-0.327
149.924	430.95	-0.327
149.925	430.89	-0.327
149.926	430.82	-0.327
149.927	430.76	-0.327
149.928	430.69	-0.327
149.929	430.63	-0.327
149.930	430.56	-0.327
149.931	430.50	-0.327
149.932	430.44	-0.327
149.933	430.38	-0.327
149.934	430.31	-0.327
149.935	430.25	-0.327
149.936	430.19	-0.328
149.937	430.13	-0.328
149.938	430.07	-0.328
149.939	430.01	-0.328
149.940	429.94	-0.328
149.941	429.88	-0.328
149.942	429.82	-0.328
149.943	429.76	-0.328
149.944	429.71	-0.328
149.945	429.65	-0.328
149.946	429.59	-0.328
149.947	429.53	-0.328
149.948	429.47	-0.328
149.949	429.41	-0.328
149.950	429.35	-0.329
149.951	429.30	-0.329
149.952	429.24	-0.329
149.953	429.18	-0.329
149.954	429.13	-0.329
149.955	429.07	-0.329
149.956	429.01	-0.329
149.957	428.96	-0.329
149.958	428.90	-0.329
149.959	428.85	-0.329
149.960	428.79	-0.329
149.961	428.74	-0.329
149.962	428.68	-0.329
149.963	428.63	-0.329
149.964	428.58	-0.329
149.965	428.52	-0.330
149.966	428.47	-0.330
149.967	428.42	-0.330
149.968	428.36	-0.330
149.969	428.31	-0.330
149.970	428.26	-0.330
149.971	428.21	-0.330
149.972	428.16	-0.330
149.973	428.11	-0.330
149.974	428.06	-0.330
149.975	428.00	-0.330
149.976	427.95	-0.330
149.977	427.90	-0.330
149.978	427.85	-0.330
149.979	427.81	-0.330
149.980	427.76	-0.330
149.981	427.71	-0.331
149.982	427.66	-0.331
149.983	427.61	-0.331
149.984	427.56	-0.331
149.985	427.51	-0.331
149.986	427.47	-0.331
149.987	427.42	-0.331
149.988	427.37	-0.331
149.989	427.33	-0.331
149.990	427.28	-0.331
149.991	427.23	-0.331
149.992	427.19	-0.331
149.993	427.14	-0.331
149.994	427.10	-0.331
149.995	427.05	-0.331
149.996	427.01	-0.331
149.997	426.96	-0.331
149.998	426.92	-0.332
149.999	426.87	-0.332
150.000	426.83	-0.332
150.001	426.79	-0.332
150.002	426.74	-0.332
150.003	426.70	-0.332
150.004	426.66	-0.332
150.005	426.61	-0.332
150.006	426.57	-0.332
150.007	426.53	-0.332
150.008	426.49	-0.332
150.009	426.45	-0.332
150.010	426.41	-0.332
150.011	426.37	-0.332
150.012	426.33	-0.332
150.013	426.28	-0.332
150.014	426.24	-0.332
150.015	426.20	-0.332
150.016	426.17	-0.332
150.017	426.13	-0.332
150.018	426.09	-0.333
150.019	426.05	-0.333
150.020	426.01	-0.333
150.021	425.97	-0.333
150.022	425.93	-0.333
150.023	425.90	-0.333
150.024	425.86	-0.333
150.025	425.82	-0.333
150.026	425.78	-0.333
150.027	425.75	-0.333
150.028	425.71	-0.333
150.029	425.68	-0.333
150.030	425.64	-0.333
150.031	425.60	-0.333
150.032	425.57	-0.333
150.033	425.53	-0.333
150.034	425.50	-0.333
150.035	425.46	-0.333
150.036	425.43	-0.333
150.037	425.40	-0.333
150.038	425.36	-0.333
150.039	425.33	-0.333
150.040	425.29	-0.333
150.041	425.26	-0.334
150.042	425.23	-0.334
150.043	425.20	-0.334
150.044	425.16	-0.334
150.045	425.13	-0.334
150.046	425.10	-0.334
150.047	425.07	-0.334
150.048	425.04	-0.334
150.049	425.00	-0.334
150.050	424.97	-0.334
150.051	424.94	-0.334
150.052	424.91	-0.334
150.053	424.88	-0.334
150.054	424.85	-0.334
150.055	424.82	-0.334
150.056	424.79	-0.334
150.057	424.76	-0.334
150.058	424.74	-0.334
150.059	424.71	-0.334
150.060	424.68	-0.334
150.061	424.65	-0.334
150.062	424.62	-0.334
150.063	424.59	-0.334
150.064	424.57	-0.334
150.065	424.54	-0.334
150.066	424.51	-0.334
150.067	424.49	-0.334
150.068	424.46	-0.335
150.069	424.43	-0.335
150.070	424.41	-0.335
150.071	424.38	-0.335
150.072	424.36	-0.335
150.073	424.33	-0.335
150.074	424.30	-0.335
150.075	424.28	-0.335
150.076	424.26	-0.335
150.077	424.23	-0.335
150.078	424.21	-0.335
150.079	424.18	-0.335
150.080	424.16	-0.335
150.081	424.14	-0.335
150.082	424.11	-0.335
150.083	424.09	-0.335
150.084	424.07	-0.335
150.085	424.04	-0.335
150.086	424.02	-0.335
150.087	424.00	-0.335
150.088	423.98	-0.335
150.089	423.96	-0.335
150.090	423.93	-0.335
150.091	423.91	-0.335
150.092	423.89	-0.335
150.093	423.87	-0.335
150.094	423.85	-0.335
150.095	423.83	-0.335
150.096	423.81	-0.335
150.097	423.79	-0.335
150.098	423.77	-0.335
150.099	423.75	-0.335
150.100	423.73	-0.335
150.101	423.71	-0.335
150.102	423.69	-0.335
150.103	423.68	-0.335
150.104	423.66	-0.335
150.105	423.64	-0.336
150.106	423.62	-0.336
150.107	423.60	-0.336
150.108	423.59	-0.336
150.109	423.57	-0.336
150.110	423.55	-0.336
150.111	423.54	-0.336
150.112	423.52	-0.336
150.113	423.50	-0.336
150.114	423.49	-0.336
150.115	423.47	-0.336
150.116	423.46	-0.336
150.117	423.44	-0.336
150.118	423.43	-0.336
150.119	423.41	-0.336
150.120	423.40	-0.336
150.121	423.38	-0.336
150.122	423.37	-0.336
150.123	423.35	-0.336
150.124	423.34	-0.336
150.125	423.32	-0.336
150.126	423.31	-0.336
150.127	423.30	-0.336
150.128	423.28	-0.336
150.129	423.27	-0.336
150.130	423.26	-0.336
150.131	423.25	-0.336
150.132	423.23	-0.336
150.133	423.22	-0.336
150.134	423.21	-0.336
150.135	423.20	-0.336
150.136	423.19	-0.336
150.137	423.18	-0.336
150.138	423.17	-0.336
150.139	423.15	-0.336
150.140	423.14	-0.336
150.141	423.13	-0.336
150.142	423.12	-0.336
150.143	423.11	-0.336
150.144	423.10	-0.336
150.145	423.09	-0.336
150.146	423.08	-0.336
150.147	423.08	-0.336
150.148	423.07	-0.336
